,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
42199,10516273,HZ258443,03/14/2016 12:00:00 PM,109XX S DOTY AVE E,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,False,False,513,5.0,10.0,51.0,11,,,2016,05/10/2016 03:56:50 PM,,,
42308,10516300,HZ258500,03/01/2016 09:00:00 AM,084XX S VINCENNES AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,False,False,622,6.0,21.0,71.0,26,,,2016,05/10/2016 03:56:50 PM,,,
42460,22451,HZ250365,05/03/2016 09:08:00 PM,074XX S MAPLEWOOD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,835,8.0,18.0,66.0,01A,1160663.0,1855290.0,2016,05/10/2016 03:56:50 PM,41.758606301,-87.686748849,"(41.758606301, -87.686748849)"
42482,22452,HZ249724,05/03/2016 02:00:00 PM,049XX W MONROE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1533,15.0,28.0,25.0,01A,1143598.0,1899211.0,2016,05/10/2016 03:56:50 PM,41.879467146,-87.748195577,"(41.879467146, -87.748195577)"
43063,10508660,HZ250515,05/04/2016 12:01:00 AM,015XX W GARFIELD BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,934,9.0,16.0,61.0,08B,1167130.0,1868260.0,2016,05/11/2016 03:50:55 PM,41.794061805,-87.662676999,"(41.794061805, -87.662676999)"
43695,10508667,HZ250527,05/04/2016 12:47:00 AM,067XX S LAFLIN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,False,False,725,7.0,17.0,67.0,15,1167495.0,1860032.0,2016,05/11/2016 03:50:55 PM,41.771475336,-87.661574276,"(41.771475336, -87.661574276)"
44256,10508668,HZ250525,05/04/2016 12:15:00 AM,033XX W FLOURNOY ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,1134,11.0,24.0,27.0,18,1154249.0,1896836.0,2016,05/11/2016 03:50:55 PM,41.87274397,-87.709149899,"(41.87274397, -87.709149899)"
44300,10508673,HZ250533,05/04/2016 12:14:00 AM,032XX W 47TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,821,8.0,14.0,58.0,18,1155749.0,1873296.0,2016,05/11/2016 03:50:55 PM,41.808117346,-87.704275674,"(41.808117346, -87.704275674)"
44495,10508676,HZ250520,05/04/2016 12:17:00 AM,006XX W 127TH ST,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,True,False,523,5.0,9.0,53.0,04A,1174204.0,1820662.0,2016,05/11/2016 03:50:55 PM,41.663292071,-87.63814672,"(41.663292071, -87.63814672)"
44929,10508677,HZ250509,05/04/2016 12:08:00 AM,005XX E 130TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,False,False,533,5.0,9.0,54.0,04A,1182215.0,1819214.0,2016,05/11/2016 03:50:55 PM,41.659137482,-87.608875108,"(41.659137482, -87.608875108)"
